,username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink,Unnamed: 11,len,SA
50,LEDinside,LEDinside,2010-02-22 01:19:00,0,0,Carmanah Installs Solar LED Street Lighting in Phoenix Arizona: Carmanah has completed an installation of EverGEN ... http://bit.ly/bUJFcj,,,,9465050742,https://twitter.com/LEDinside/status/9465050742,,138,0
51,LEDinside,LEDinside,2010-02-22 01:19:00,0,0,Carmanah Illuminates World Cup Supply Site with Solar LED Aviation Lighting: Carmanah Technologies Corporation has... http://bit.ly/aN2NTN,,,,9465050261,https://twitter.com/LEDinside/status/9465050261,,138,0
52,LEDinside,LEDinside,2010-02-24 01:36:00,0,0,"Carmanah Illuminates Public Park in Santiago, Chile: A public park in Santiago, Chile is lighting its pathways wit... http://bit.ly/bp4yiZ",,,,9565125131,https://twitter.com/LEDinside/status/9565125131,,138,0
53,Tecnopali,Tecnopali,2010-02-28 14:44:00,1,0,Lighting: Carmanah Installs Solar LED Street Lighting in Phoenix Arizona ... http://bit.ly/9nJcg4,,,,9788776842,https://twitter.com/Tecnopali/status/9788776842,,97,0
54,Solar Energy News,SolarEnergyNews,2010-03-18 12:49:00,0,0,Carmanah and Sabik Partner to Deliver Total Marine Lighting Solutions http://goo.gl/fb/AbtY,,,,10679572160,https://twitter.com/SolarEnergyNews/status/10679572160,,91,0
55,LEDinside,LEDinside,2010-03-24 02:41:00,0,0,Carmanah and Sabik partner to deliver marine lighting: Marine lighting pioneers Carmanah Technologies Corporation ... http://bit.ly/cqffgN,,,,10967362256,https://twitter.com/LEDinside/status/10967362256,,138,0
56,LEDinside,LEDinside,2010-03-24 02:41:00,0,0,Carmanah and Sabik partner to deliver marine lighting: Marine lighting pioneers Carmanah Technologies Corporation ... http://bit.ly/cqffgN,,,,10967362256,https://twitter.com/LEDinside/status/10967362256,,138,0
57,LEDinside,LEDinside,2010-03-24 02:41:00,0,0,Carmanah and Sabik partner to deliver marine lighting: Marine lighting pioneers Carmanah Technologies Corporation ... http://bit.ly/cqffgN,,,,10967362256,https://twitter.com/LEDinside/status/10967362256,,138,0
58,Kaushik Choudhary,kaushcho,2010-05-05 16:26:00,0,0,"Vancouver island (French beach, Port Renfrew, Botanical Beach, Lake Cowichan, Carmanah Provincial Park, Dunkan, Victoria)- EXPLORED!",,,,13445592063,https://twitter.com/kaushcho/status/13445592063,,132,0
59,Bill Gade,TopSEOranking,2010-05-06 19:52:00,0,0,"Carmanah Reports Q1 2010 Results: First quarter Signals & Illumination sales increased to $6.4 million from $5.6 million, mainly due t...",,,,13515763004,https://twitter.com/TopSEOranking/status/13515763004,,137,1
60,LEDinside,LEDinside,2010-05-10 23:44:00,0,0,Carmanah Technologies to Unveil Solar Lighting Innovations at LightFair 2010: Carmanah Technologies is unveiling s... http://bit.ly/bSkUFY,,,,13767495262,https://twitter.com/LEDinside/status/13767495262,,138,0
61,Eco Concept,ecoconcept,2010-05-27 18:07:00,0,0,Carmanah Technologies Corporation (TSX:CMH) Announces ... - Transworld News: Carmanah Technologies Corporation (TS... http://bit.ly/dnZ17K,,,,14862265171,https://twitter.com/ecoconcept/status/14862265171,,138,0
62,Carmanah Tech. Corp.,CarmanahTech,2010-06-02 17:30:00,1,0,Carmanah/Sabik wins four standing offers from Canadian Coast Guard for marine lanterns. http://tinyurl.com/2elpusw,,,,15278120521,https://twitter.com/CarmanahTech/status/15278120521,,114,1
63,Carmanah Tech. Corp.,CarmanahTech,2010-06-02 17:30:00,1,0,Carmanah/Sabik wins four standing offers from Canadian Coast Guard for marine lanterns. http://tinyurl.com/2elpusw,,,,15278120521,https://twitter.com/CarmanahTech/status/15278120521,,114,1
64,WBrowneNews™,WBrowneNews,2010-06-04 12:42:00,0,0,Carmanah Gets Solar-powered LED Marine Lanterns Order From CCG http://url4.eu/43S84,,,,15428288675,https://twitter.com/WBrowneNews/status/15428288675,,83,0
65,4-traders.com,ForTraders,2010-06-15 11:50:00,0,0,# CARMANAH TECH : Carmanah Supplies Carmanah/Sabik Marine Lanterns to Support Oil Spill Containment EffortsCARMANAH T... http://bit.ly/aJpIYo,,@ @,#,1.62E+10,https://twitter.com/ForTraders/status/16233947542,,141,0
66,4-traders.com,ForTraders,2010-06-15 11:50:00,0,0,# CARMANAH TECH : Carmanah Supplies Carmanah/Sabik Marine Lanterns to Support Oil Spill Containment EffortsCARMANAH T... http://bit.ly/aJpIYo,,,#,16233947542,https://twitter.com/ForTraders/status/16233947542,,141,0
67,Tech Flypaper,techflypaper,2010-06-15 11:51:00,0,0,Carmanah Supplies Carmanah/Sabik Marine Lanterns to Support Oil Spill Containment Efforts http://is.gd/cQksd,,,,16234084779,https://twitter.com/techflypaper/status/16234084779,,108,0
68,LedGrowLamp,LedGrowLamp,2010-06-15 12:20:00,0,0,New post: Carmanah Supplies Carmanah/Sabik Marine Lanterns to Support Oil Spill ... - MarketWatch (press release) http://cli.gs/mSsj0,,,,16236110134,https://twitter.com/LedGrowLamp/status/16236110134,,133,1
69,Global Business Buzz,globalbuzzonbiz,2010-06-15 13:23:00,0,0,Carmanah Supplies Carmanah/Sabik Marine Lanterns to Support Oil Spill ...: ... or to be expending valuable manpowe... http://bit.ly/8XcOX2,,,,16240540684,https://twitter.com/globalbuzzonbiz/status/16240540684,,138,0
70,Marc Seelinger,SwampSchool,2010-06-15 14:18:00,0,0,Post: Carmanah Supplies Carmanah/Sabik Marine Lanterns to Support Oil Spill ... - MarketWatch (press release) http://zip.li/KSXM,,,,1.62E+10,https://twitter.com/SwampSchool/status/16244035223,,128,0
71,Marc Seelinger,SwampSchool,2010-06-15 14:18:00,0,0,Post: Carmanah Supplies Carmanah/Sabik Marine Lanterns to Support Oil Spill ... - MarketWatch (press release) http://zip.li/KSXM,,,,16244035223,https://twitter.com/SwampSchool/status/16244035223,,128,0
72,Not really Vidfair,Vidfair,2010-06-15 14:43:00,0,0,Carmanah Supplies Carmanah/Sabik Marine Lanterns to Support Oil Spill ... http://bit.ly/9jTMsW,,,,16245561007,https://twitter.com/Vidfair/status/16245561007,,94,0
73,Environment BC,EnvBC,2010-06-15 19:48:00,0,0,Carmanah lighting oil spill containment booms - solar LED lanterns deployed in the Gulf of Mexico. http://bit.ly/9SRgO9,,,,16263910432,https://twitter.com/EnvBC/status/16263910432,,119,0
74,Hutcheson and Co.,HutchesonAndCo,2010-06-16 09:53:00,0,0,http://www.VIBN.ca: On the Street: Carmanah lanterns illuminating Gulf oil disaster: Solar-powered lanterns from V... http://bit.ly/buFYKi,,,,16307629796,https://twitter.com/HutchesonAndCo/status/16307629796,,138,0
75,LEDLightings,LEDlightings,2010-06-16 22:54:00,0,0,Carmanah Supplies Carmanah/Sabik Marine Lanterns to Support Oil Spill ...NewsBlaze... when all production was http://url4.eu/4cQKb,,@,,1.64E+10,https://twitter.com/LEDlightings/status/16357149071,,130,0
76,LEDLightings,LEDlightings,2010-06-16 22:54:00,0,0,Carmanah Supplies Carmanah/Sabik Marine Lanterns to Support Oil Spill ...NewsBlaze... when all production was http://url4.eu/4cQKb,,,,16357149071,https://twitter.com/LEDlightings/status/16357149071,,130,0
77,Viridus Team,viridus,2010-06-17 01:29:00,0,0,Carmanah lighting oil spill containment booms: Carmanah Technologies Corp. through its marine partnership with Sab... http://bit.ly/cGDgzk,,,,16366076562,https://twitter.com/viridus/status/16366076562,,138,0
78,Velva Nowak,1spidertr,2010-06-17 03:45:00,0,0,Carmanah lanterns illuminating Gulf oil disaster - Times Colonist http://tinyurl.com/245m856,,,,16371935756,https://twitter.com/1spidertr/status/16371935756,,92,0
79,LEDinside,LEDinside,2010-06-17 23:14:00,0,0,Carmanah's supplement for Gulf Oil Spill Containment Efforts: Carmanah Technologies Corp. cooperates with Sabik Oy... http://bit.ly/cKO4l9,,,,16438740717,https://twitter.com/LEDinside/status/16438740717,,138,0
80,BC Innovation Council,bcic,2010-06-18 18:20:00,0,0,BC’s Carmanah Technologies providing their solar LED lanterns to help mark # oilspill containment booms in the # Gulf http://ow.ly/20nj8,,,# #,16501869830,https://twitter.com/bcic/status/16501869830,,136,0
81,BC Innovation Council,bcic,2010-06-18 18:20:00,0,0,BC’s Carmanah Technologies providing their solar LED lanterns to help mark # oilspill containment booms in the # Gulf http://ow.ly/20nj8,,,# #,16501869830,https://twitter.com/bcic/status/16501869830,,136,0
82,World Solar News,worldsolarnews,2010-07-08 04:01:00,0,0,Solarnews: Carmanah Bags CAD1.5m Solar PV Contract In Ontario: Carmanah Technologies has been awarded CAD1.5m cont... http://bit.ly/bOYvzt,,,,18019130673,https://twitter.com/worldsolarnews/status/18019130673,,138,0
83,LEDinside,LEDinside,2010-07-12 23:17:00,0,0,Carmanah created the Carmanah EverGEN Selector Tool for Solar LED Lighting: Carmanah Technologies Corporation crea... http://bit.ly/bG9bYh,,,,18406001636,https://twitter.com/LEDinside/status/18406001636,,138,0
84,LEDinside,LEDinside,2010-07-12 23:17:00,0,0,Carmanah created the Carmanah EverGEN Selector Tool for Solar LED Lighting: Carmanah Technologies Corporation crea... http://bit.ly/bG9bYh,,,,18406001636,https://twitter.com/LEDinside/status/18406001636,,138,0
85,Co.Design,FastCoDesign,2010-07-19 11:59:00,1,0,Lighting manufacturer Carmanah has partnered with a team at frog design to create a series of solar LED streetlamps: http://bit.ly/9BfZq2,,,,18926184344,https://twitter.com/FastCoDesign/status/18926184344,,137,0
86,LEDinside,LEDinside,2010-07-28 21:31:00,0,0,Carmanah offers solar LED illumination for Selkirk Trestle Bridge: Carmanah Technologies Corporation installs 26 E... http://bit.ly/bNH40A,,,,19786835313,https://twitter.com/LEDinside/status/19786835313,,138,1
87,Dhanabir Thokchom,PoliticalWars,2010-08-10 17:05:00,0,0,"Carmanah Reports Q2 2010 Results: With Semex, we continue to focus on both local Mexican lighting and traffic sign... http://bit.ly/bucD5R",,,,20825384428,https://twitter.com/PoliticalWars/status/20825384428,,138,0
88,LEDinside,LEDinside,2010-08-15 23:59:00,0,0,A Bus Stop of LA City Installed Carmanah Solar LED Lighting: Carmanah EverGEN 1710 solar LED lighting systems have... http://bit.ly/bymX4B,,,,21285579179,https://twitter.com/LEDinside/status/21285579179,,138,0
89,Solar Energy News,SolarEnergyNews,2010-09-15 13:39:00,0,0,Carmanah Solar Flashing Beacons Improve School Zone Safety in Time for Back to School http://goo.gl/fb/mubCh,,,,24589971745,https://twitter.com/SolarEnergyNews/status/24589971745,,108,0
90,Easy Green Energy,EasyGreenEnergy,2010-09-15 15:49:00,0,0,"Carmanah Solar Flashing Beacons Improve School Zone Safety in Time for Back to ...: VICTORIA, British Columbia, Se... http://bit.ly/a2g4Dw",,,,24598536786,https://twitter.com/EasyGreenEnergy/status/24598536786,,138,0
91,LEDinside,LEDinside,2010-09-16 01:02:00,0,0,Carmanah supplied 52 solar LED flashing beacons to Bethany district school zones: Carmanah Technologies Corporatio... http://bit.ly/aKlSbK,,,,24637445795,https://twitter.com/LEDinside/status/24637445795,,138,0
92,LEDinside,LEDinside,2010-09-16 01:02:00,0,0,Carmanah supplied 52 solar LED flashing beacons to Bethany district school zones: Carmanah Technologies Corporatio... http://bit.ly/aKlSbK,,,,24637445795,https://twitter.com/LEDinside/status/24637445795,,138,0
93,Marilyn Morehouse,TrafficDepot,2010-09-18 05:23:00,0,0,Traffic Depot Update Carmanah's Solar LED Flashing Beacons Enhance Bethany's School Zone Safety http://bit.ly/akFtwd # school # traffic,,,# #,24835673427,https://twitter.com/TrafficDepot/status/24835673427,,135,0
94,Carmanah Tech. Corp.,CarmanahTech,2010-09-21 13:03:00,1,0,"Carmanah Technologies to Acquire Lightech Electronic Industries, specialists in LED power supplies:http://tinyurl.com/33zthyn #solar#led",,,#solar #led,25135673987,https://twitter.com/CarmanahTech/status/25135673987,,136,0
95,LEDinside,LEDinside,2010-09-24 21:39:00,0,0,"US Coast Guard order Over 2,500 solar LED marine lanterns from Carmanah: Recently, the United States Coast Guard h... http://bit.ly/axHD7s",,,,25457948871,https://twitter.com/LEDinside/status/25457948871,,138,0
96,Yaroslav LEDs Review,ledsreview,2010-10-05 08:41:00,0,0,Carmanah Solar LED Airfield Lights Chosen for Calgary International Airport Upgrade http://bit.ly/d2hoWj,,,,26452401904,https://twitter.com/ledsreview/status/26452401904,,104,0
97,LEDinside,LEDinside,2010-10-10 22:35:00,0,0,Calgary International Airport Chose Carmanah solar LED airfield lights for Facility Upgrade: Carmanah solar LED ai... http://bit.ly/bVjQnd,,,,26994770392,https://twitter.com/LEDinside/status/26994770392,,138,0
98,LEDinside,LEDinside,2010-10-12 21:31:00,0,0,Trojan Battery for Carmanah's Outdoor Solar LED Lights: Carmanah Technologies Corporation has set up a strategic p... http://bit.ly/aEsp23,,,,27195508709,https://twitter.com/LEDinside/status/27195508709,,138,0
99,Investment Pitch,InvestmentPitch,2010-10-13 14:10:00,0,0,VIDEO NEWS ALERT: Carmanah Technologies Corp. - leading provider of stand-alone solar-powered LED lights and beacons: http://fb.me/Lz4LRRVL,,,,27264497123,https://twitter.com/InvestmentPitch/status/27264497123,,139,0
100,Carmanah Tech. Corp.,CarmanahTech,2010-10-29 14:49:00,2,1,Carmanah Technologies named to Canada's Cleantech Top 10 for 4th Consecutive Year. http://tinyurl.com/32b989r # solar,,,#,29113781833,https://twitter.com/CarmanahTech/status/29113781833,,117,1
101,Carmanah Tech. Corp.,CarmanahTech,2010-11-01 13:55:00,0,0,Venezuela Air Force chooses Carmanah/ADB lighting system for airfield upgrade http://tinyurl.com/24bxahp,,,,29393611813,https://twitter.com/CarmanahTech/status/29393611813,,104,0
102,Solar Energy News,SolarEnergyNews,2010-11-09 12:58:00,0,0,Large Electric Utility Company Employs Carmanah Solar-Powered Lighting for Nuclear Station… http://goo.gl/fb/1hECm,,,,2.06E+15,https://twitter.com/SolarEnergyNews/status/2057558495858688,,114,1
103,PHP_Listens,PHP_Listens,2011-03-01 13:01:00,0,0,Converting older incandescent indications to Carmanah Solar Flashing LED Beacons will save local agencies money http://ht.ly/42axW,,,,4.26E+16,https://twitter.com/PHP_Listens/status/42645642237067264,,130,1
104,Carmanah Signs,CarmanahSigns,2011-03-15 14:13:00,0,0,Come see Carmanah Signs at Globalshop in Las Vegas -... http://fb.me/vppDX2J8,,,,4.77E+16,https://twitter.com/CarmanahSigns/status/47722171031756800,,77,0
105,FondriestEnv,FondriestEnv,2011-04-06 18:47:00,0,0,Carmanah 502 Series beacons are designed to install in minutes & operate flawlessly up to 5 years without maintenance: http://bit.ly/gT9J1x,,,,5.58E+16,https://twitter.com/FondriestEnv/status/55763694440816640,,139,1
106,Carmanah Tech. Corp.,CarmanahTech,2011-05-03 09:01:00,0,0,Airport in Angola Selects Carmanah for Solar Aviation Runway... http://conta.cc/lycTmE via # constantcontact,,,#,6.54E+16,https://twitter.com/CarmanahTech/status/65400608898826240,,108,0
107,AccentSolars,accentsolars,2011-05-03 09:17:00,0,0,Airport in Angola Selects Carmanah for Solar Aviation Runway and ...: The solar powered aviation lights are the ... http://bit.ly/mTqFm3,,,,6.54E+16,https://twitter.com/accentsolars/status/65404516941574144,,136,0
